,pnu,st_asewkt
0,1168010400101230050,SRID=4326;POINT(127.050620163592 37.5255699386887)
68,1168010400101270012,SRID=4326;POINT(127.052029092975 37.5265419060824)
69,1168010400101270016,SRID=4326;POINT(127.052470288091 37.5260744844804)
70,1168010400101270019,SRID=4326;POINT(127.052427595997 37.5257690471595)
71,1168010400101270027,SRID=4326;POINT(127.05237681441 37.5265064572104)
72,1168010400101270031,SRID=4326;POINT(127.053071202971 37.5269230401537)
73,1168010400101270034,SRID=4326;POINT(127.052746428045 37.5263944010236)
74,1168010400101270035,SRID=4326;POINT(127.052229218295 37.52687225433)
75,1168010400101270036,SRID=4326;POINT(127.052826692958 37.527206240259)
76,1168010400101270037,SRID=4326;POINT(127.052299695014 37.5263411854127)
77,1168010400101280000,SRID=4326;POINT(127.054186698166 37.5268360860745)
78,1168010400101280001,SRID=4326;POINT(127.053903364878 37.5266828298934)
79,1168010400101280002,SRID=4326;POINT(127.053602590172 37.5266341939139)
80,1168010400101280003,SRID=4326;POINT(127.053448922482 37.5265508796475)
81,1168010400101280004,SRID=4326;POINT(127.053295236 37.5264675600291)
82,1168010400101280005,SRID=4326;POINT(127.05314129322 37.526383823452)
83,1168010400101280006,SRID=4326;POINT(127.052981071139 37.5263063357259)
84,1168010400101280007,SRID=4326;POINT(127.052884542101 37.5259555424017)
85,1168010400101280011,SRID=4326;POINT(127.053084500511 37.5261713951314)
86,1168010400101280012,SRID=4326;POINT(127.053189889079 37.5260596831268)
87,1168010400101320006,SRID=4326;POINT(127.056813820868 37.5224776123894)
88,1168010400101280013,SRID=4326;POINT(127.053294397965 37.5262046405607)
89,1168010400101280014,SRID=4326;POINT(127.053435402309 37.5263030968129)
90,1168010400101280015,SRID=4326;POINT(127.053588823213 37.5263862861587)
91,1168010400101280016,SRID=4326;POINT(127.053742209476 37.5264695104755)
92,1168010400101280017,SRID=4326;POINT(127.054051491476 37.5264952413039)
93,1168010400101280018,SRID=4326;POINT(127.054147471215 37.5264067773099)
94,1168010400101280022,SRID=4326;POINT(127.053757388965 37.5261924558605)
95,1168010400101280023,SRID=4326;POINT(127.053602267016 37.5261078924138)
96,1168010400101280024,SRID=4326;POINT(127.053448143174 37.5260246337833)
97,1168010400101280025,SRID=4326;POINT(127.053302138438 37.5259324085778)
98,1168010400101280026,SRID=4326;POINT(127.05315682145 37.5259320804676)
99,1168010400101280030,SRID=4326;POINT(127.053559001035 37.5262279948079)
100,1168010400101280031,SRID=4326;POINT(127.054042642622 37.5265176446001)
101,1168010400101290000,SRID=4326;POINT(127.054266687633 37.5260623165869)
102,1168010400101290001,SRID=4326;POINT(127.054117295352 37.5257593961083)
103,1168010400101290002,SRID=4326;POINT(127.053959289926 37.5259583466511)
104,1168010400101290003,SRID=4326;POINT(127.053852907891 37.5259066013293)
105,1168010400101290004,SRID=4326;POINT(127.053752948953 37.5258460445598)
106,1168010400101290006,SRID=4326;POINT(127.053947744708 37.5256429658232)
107,1168010400101290007,SRID=4326;POINT(127.053667017392 37.5256028304116)
108,1168010400101290009,SRID=4326;POINT(127.053286393774 37.5255871227667)
109,1168010400101290010,SRID=4326;POINT(127.052906189166 37.5255180127501)
110,1168010400101290011,SRID=4326;POINT(127.052970734002 37.5252545733931)
111,1168010400101290016,SRID=4326;POINT(127.053405972759 37.5253427248106)
112,1168010400101300000,SRID=4326;POINT(127.055217698805 37.5252409416403)
113,1168010400101300006,SRID=4326;POINT(127.055250718161 37.5248280820145)
114,1168010400101300007,SRID=4326;POINT(127.055361664424 37.524587873187)
115,1168010400101300008,SRID=4326;POINT(127.055328150841 37.5243444953786)
116,1168010400101300009,SRID=4326;POINT(127.055421036974 37.5240994988788)
117,1168010400101300010,SRID=4326;POINT(127.055767199398 37.5241757226042)
118,1168010400101300013,SRID=4326;POINT(127.055556188917 37.5244136744906)
119,1168010400101300022,SRID=4326;POINT(127.05562360263 37.5253660284115)
120,1168010400101300023,SRID=4326;POINT(127.055516814228 37.5252342203649)
121,1168010400101300028,SRID=4326;POINT(127.055709492513 37.5245179856352)
122,1168010400101300029,SRID=4326;POINT(127.055782794807 37.5243833477201)
123,1168010400101300030,SRID=4326;POINT(127.055727161325 37.5243505635964)
124,1168010400101300033,SRID=4326;POINT(127.05557942985 37.5241488298147)
125,1168010400101310000,SRID=4326;POINT(127.055657351619 37.5237471756403)
126,1168010400101310001,SRID=4326;POINT(127.055855168268 37.5239226641785)
127,1168010400101310002,SRID=4326;POINT(127.055981510523 37.5239640598387)
128,1168010400101310003,SRID=4326;POINT(127.056081103682 37.5238516221327)
129,1168010400101310006,SRID=4326;POINT(127.055740160529 37.5235219303692)
130,1168010400101310008,SRID=4326;POINT(127.056037885806 37.5236680484405)
131,1168010400101320007,SRID=4326;POINT(127.056854776788 37.5224029041407)
